,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
1769,Chevrolet Sail 1.2 LS ABS,2014.0,450000.0,13500.0,Petrol,Individual,Manual,0.0,18.2,1199.0,82.4,108.5Nm@ 5000rpm,5.0
1770,Tata Indigo LX,2012.0,300000.0,80000.0,Diesel,Individual,Manual,0.0,17.0,1405.0,70.0,"13.5@ 2,500(kgm@ rpm)",5.0
1771,Hyundai i20 1.2 Spotz,2017.0,645000.0,20000.0,Petrol,Individual,Manual,0.0,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0
1772,Maruti Swift Dzire VDI,2013.0,520000.0,58000.0,Diesel,Individual,Manual,0.0,23.4,1248.0,74.0,190Nm@ 2000rpm,5.0
1773,Hyundai EON Magna Plus,2013.0,200000.0,40000.0,Petrol,Individual,Manual,0.0,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0
1774,Honda City i VTEC V,2015.0,700000.0,30000.0,Petrol,Individual,Manual,0.0,17.4,1497.0,117.3,145Nm@ 4600rpm,5.0
1775,Maruti 800 AC,2000.0,45000.0,50000.0,Petrol,Individual,Manual,1.0,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
1776,Ford Figo Aspire 1.5 TDCi Ambiente,2016.0,459999.0,73000.0,Diesel,Individual,Manual,0.0,25.83,1498.0,99.0,215Nm@ 1750-3000rpm,5.0
1777,Maruti Ritz VDi,2014.0,325000.0,90000.0,Diesel,Individual,Manual,1.0,23.2,1248.0,73.94,190Nm@ 2000rpm,5.0
1778,Maruti Wagon R VXI BS IV,2015.0,350000.0,50000.0,Petrol,Individual,Manual,1.0,20.51,998.0,67.04,90Nm@ 3500rpm,5.0
1779,Hyundai Verna 1.6 CRDI,2011.0,440000.0,80000.0,Diesel,Individual,Manual,2.0,22.32,1582.0,126.3,259.9Nm@ 1900-2750rpm,5.0
1780,Hyundai i20 1.4 CRDi Magna,2011.0,320000.0,70000.0,Diesel,Individual,Manual,1.0,21.9,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0
1781,Chevrolet Spark 1.0 LS,2011.0,169000.0,41000.0,Petrol,Individual,Manual,0.0,18.0,995.0,62.0,90.3Nm@ 4200rpm,5.0
1782,Volkswagen Polo Petrol Comfortline 1.2L,2013.0,350000.0,50000.0,Petrol,Individual,Manual,3.0,16.47,1198.0,73.9,110Nm@ 3750rpm,5.0
1783,Ford Classic 1.4 Duratorq Titanium,2014.0,350000.0,113226.0,Diesel,Dealer,Manual,0.0,19.68,1399.0,67.0,160Nm@ 2000rpm,5.0
1784,Ford Figo Diesel Celebration Edition,2013.0,310000.0,90000.0,Diesel,Individual,Manual,1.0,20.0,1399.0,68.1,160Nm@ 2000rpm,5.0
1785,Maruti Swift 1.3 VXi,2007.0,150000.0,70000.0,Petrol,Individual,Manual,2.0,,,,,
1786,Mahindra Scorpio M2DI,2010.0,420000.0,160500.0,Diesel,Individual,Manual,3.0,13.5,2179.0,115.0,277.5Nm@ 1700-2200rpm,5.0
1787,Maruti Ciaz AT ZXi,2015.0,685000.0,30000.0,Petrol,Individual,Automatic,0.0,19.12,1373.0,91.1,130Nm@ 4000rpm,5.0
1788,Renault Duster 4x4,2014.0,560000.0,132000.0,Diesel,Individual,Manual,1.0,19.72,1461.0,108.45,245Nm@ 1750rpm,5.0
1789,Maruti Swift VDI,2013.0,470000.0,120000.0,Diesel,Individual,Manual,2.0,22.9,1248.0,74.0,190Nm@ 2000rpm,5.0
1790,Hyundai Verna Transform VTVT,2011.0,380000.0,80000.0,Petrol,Individual,Manual,1.0,16.2,1599.0,103.2,14.9 KGM at 3000 RPM,5.0
1791,Mahindra Scorpio 1.99 S6 Plus,2015.0,670000.0,57000.0,Diesel,Individual,Manual,1.0,15.4,1997.0,120.0,280Nm@ 1800-2800rpm,7.0
1792,Maruti Swift Dzire LXI 1.2 BS IV,2018.0,550000.0,5000.0,Petrol,Individual,Manual,0.0,22.0,1197.0,81.8,113Nm@ 4200rpm,5.0
1793,Hyundai Verna 1.6 VTVT SX,2016.0,749000.0,25000.0,Petrol,Individual,Manual,0.0,17.01,1591.0,121.3,154.9Nm@ 4200rpm,5.0
1794,Hyundai Creta 1.6 CRDi SX Option,2015.0,899000.0,80000.0,Diesel,Individual,Manual,1.0,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0
1795,Chevrolet Optra Magnum 2.0 LS BSIII,2011.0,290000.0,88000.0,Diesel,Individual,Manual,2.0,16.52,1991.0,123.7,305Nm@ 2000rpm,5.0
1796,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014.0,869999.0,217000.0,Diesel,Individual,Manual,1.0,12.99,2494.0,100.6,200Nm@ 1400-3400rpm,7.0
1797,Datsun GO Plus A,2015.0,350000.0,60000.0,Petrol,Individual,Manual,0.0,20.62,1198.0,67.0,104Nm@ 4000rpm,7.0
1798,Maruti Swift Dzire VXI,2017.0,500000.0,43000.0,Petrol,Individual,Manual,0.0,20.85,1197.0,83.14,115Nm@ 4000rpm,5.0
1799,Skoda Rapid 1.5 TDI AT Ambition Plus,2014.0,400000.0,77000.0,Diesel,Individual,Automatic,1.0,21.66,1498.0,103.6,250Nm@ 1500-2500rpm,5.0
1800,Renault KWID RXT,2016.0,260000.0,30000.0,Petrol,Individual,Manual,0.0,25.17,799.0,53.3,72Nm@ 4386rpm,5.0
1801,Maruti Alto 800 LXI,2015.0,220000.0,40000.0,Petrol,Individual,Manual,1.0,22.74,796.0,47.3,69Nm@ 3500rpm,5.0
1802,Chevrolet Enjoy TCDi LS 8 Seater,2014.0,190000.0,139000.0,Diesel,Individual,Manual,1.0,18.2,1248.0,73.8,172.5Nm@ 1750rpm,8.0
1803,Hyundai Grand i10 Magna,2016.0,400000.0,80000.0,Petrol,Individual,Manual,0.0,18.9,1197.0,82.0,114Nm@ 4000rpm,5.0
1804,Chevrolet Beat Diesel LT Option,2014.0,170000.0,76000.0,Diesel,Individual,Manual,1.0,25.44,936.0,56.3,142.5Nm@ 1750rpm,5.0
1805,Hyundai Elite i20 Magna Plus BSIV,2019.0,650000.0,3500.0,Petrol,Individual,Manual,0.0,18.6,1197.0,81.86,117nm@ 4000rpm,5.0
1806,Maruti 800 AC BSIII,2007.0,60000.0,62000.0,Petrol,Individual,Manual,1.0,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
1807,Tata New Safari 4X2,2007.0,300000.0,110000.0,Petrol,Individual,Manual,1.0,12.0,2092.0,127.0,"20@ 3,750(kgm@ rpm)",7.0
1808,Chevrolet Spark 1.0 LT,2012.0,125000.0,40000.0,Petrol,Individual,Manual,1.0,16.2,995.0,62.1,90.3Nm@ 4200rpm,5.0
1809,Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2013.0,130000.0,120000.0,Diesel,Individual,Manual,1.0,,,,,
1810,Mahindra XUV500 W6 2WD,2012.0,500000.0,1500000.0,Diesel,Individual,Manual,0.0,15.1,2179.0,140.0,330Nm@ 1600-2800rpm,7.0
1811,Maruti Alto LX,2011.0,170000.0,70000.0,Petrol,Individual,Manual,2.0,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
1812,Maruti Swift Dzire LDi,2012.0,310000.0,77000.0,Diesel,Individual,Manual,1.0,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0
1813,Chevrolet Spark 1.0 LT,2011.0,130000.0,110000.0,Petrol,Individual,Manual,1.0,18.0,995.0,62.0,90.3Nm@ 4200rpm,5.0
1814,Maruti Wagon R VXI Optional,2016.0,465000.0,20000.0,Petrol,Individual,Manual,0.0,20.51,998.0,67.04,90Nm@ 3500rpm,5.0
1815,Mahindra Jeep MM 540,1995.0,160000.0,90000.0,Diesel,Individual,Manual,2.0,,,,,
1816,Mercedes-Benz E-Class E270 CDI,2005.0,800000.0,120005.0,Diesel,Individual,Automatic,1.0,11.0,2987.0,198.5,"46.5@ 1,400-2,800(kgm@ rpm)",5.0
1817,Maruti Alto K10 Knightracer,2012.0,260000.0,16830.0,Petrol,Individual,Manual,0.0,20.2,998.0,67.1,90Nm@ 3500rpm,5.0
1818,Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,2013.0,500000.0,70000.0,Diesel,Individual,Manual,0.0,15.96,2523.0,63.0,180Nm@ 1440-1500rpm,9.0
1819,Renault KWID 1.0 RXT 02 Anniversary Edition,2017.0,325000.0,38000.0,Petrol,Individual,Manual,0.0,23.01,999.0,67.0,91Nm@ 4250rpm,5.0
1820,Mahindra Bolero 2011-2019 DI NON AC BS III White,2013.0,400000.0,80000.0,Diesel,Individual,Manual,0.0,15.96,2523.0,63.0,180Nm@ 1440-1500rpm,9.0
1821,Toyota Fortuner 2.8 4WD MT BSIV,2018.0,3200000.0,50000.0,Diesel,Individual,Manual,0.0,14.24,2755.0,174.5,420Nm@ 1400-2600rpm,7.0
1822,Tata Indica V2 DLE BSIII,2007.0,200000.0,50000.0,Diesel,Individual,Manual,0.0,17.88,1396.0,52.8,85Nm@ 2500rpm,5.0
1823,Mahindra Quanto C2,2013.0,450000.0,52000.0,Diesel,Individual,Manual,0.0,17.21,1493.0,100.0,240Nm@ 1600-2800rpm,7.0
1824,Tata Indigo V BSIII,2012.0,229999.0,50000.0,Diesel,Individual,Manual,0.0,17.0,1405.0,70.0,"13.5@ 2,500(kgm@ rpm)",5.0
1825,Hyundai EON Magna Plus,2016.0,340000.0,30000.0,Petrol,Individual,Manual,0.0,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0
1826,Mahindra Bolero 2011-2019 SLE BSIII,2014.0,550000.0,103000.0,Diesel,Individual,Manual,0.0,15.96,2523.0,62.1,195Nm@ 1400-2200rpm,7.0
1827,Ford Endeavour 3.0L 4X4 AT,2011.0,975000.0,93468.0,Diesel,Individual,Automatic,1.0,11.4,2953.0,153.86,380Nm@ 2500rpm,7.0
1828,Volvo XC40 D4 Inscription BSIV,2019.0,3800000.0,20000.0,Diesel,Individual,Automatic,0.0,18.0,1969.0,190.0,400Nm,5.0
1829,Volkswagen Jetta 1.6 Trendline,2010.0,225000.0,80000.0,Petrol,Individual,Manual,1.0,14.0,1595.0,102.0,"15@ 3,800(kgm@ rpm)",5.0
1830,Ford Endeavour 3.2 Titanium AT 4X4,2018.0,3250000.0,12000.0,Diesel,Individual,Automatic,0.0,10.91,3198.0,197.0,470Nm@ 1750-2500rpm,7.0
1831,Tata Indigo eCS VX BSIV,2013.0,280000.0,70000.0,Diesel,Individual,Manual,0.0,25.0,1396.0,69.0,140Nm@ 1800-3000rpm,5.0
1832,Honda Amaze V Petrol BSIV,2019.0,700000.0,4500.0,Petrol,Individual,Manual,0.0,19.5,1199.0,88.76,110Nm@ 4800rpm,5.0
1833,Tata Indigo CS eLX BS IV,2012.0,259000.0,35000.0,Diesel,Individual,Manual,0.0,23.03,1396.0,69.0,140Nm@ 1800-3000rpm,5.0
1834,Toyota Fortuner 2.8 4WD AT BSIV,2018.0,3200000.0,60000.0,Diesel,Individual,Automatic,0.0,15.04,2755.0,174.5,450Nm@ 1600-2400rpm,7.0
1835,Mahindra XUV500 W10 1.99 mHawk,2018.0,1400000.0,30000.0,Diesel,Individual,Manual,0.0,16.0,1997.0,140.0,320Nm@ 1600-2800rpm,7.0
1836,Ford Figo 1.5P Titanium AT,2015.0,416000.0,40000.0,Petrol,Individual,Automatic,0.0,17.01,1499.0,110.4,136Nm@ 4250rpm,5.0
1837,Tata Manza ELAN Quadrajet BS III,2011.0,250000.0,70000.0,Diesel,Individual,Manual,0.0,19.0,1248.0,90.0,200Nm@ 1750-3000rpm,5.0
1838,Tata Manza Aura (ABS) Quadrajet BS IV,2010.0,210000.0,120000.0,Diesel,Individual,Manual,0.0,21.12,1248.0,88.8,200Nm@ 1750-3000rpm,5.0
1839,Mahindra Scorpio VLX 2WD BSIII,2008.0,290000.0,120000.0,Diesel,Individual,Manual,1.0,12.05,2179.0,120.0,290Nm@ 1800-2800rpm,8.0
1840,Tata Indigo CS eLS BS IV,2012.0,220000.0,90000.0,Diesel,Individual,Manual,0.0,23.03,1396.0,69.0,140Nm@ 1800-3000rpm,5.0
1841,Tata Indigo eCS LX BSIV,2012.0,246000.0,35000.0,Diesel,Individual,Manual,1.0,23.03,1396.0,69.0,140Nm@ 1800-3000rpm,5.0
1842,Maruti Omni E MPI STD BS IV,2018.0,260000.0,30000.0,Petrol,Individual,Manual,0.0,16.8,796.0,34.2,59Nm@ 2500rpm,8.0
1843,Hyundai Creta 1.4 CRDi S,2018.0,1050000.0,70000.0,Diesel,Individual,Manual,0.0,21.38,1396.0,88.7,219.7Nm@ 1500-2750rpm,5.0
1844,Tata Manza Club Class Quadrajet90 LX,2012.0,290000.0,60000.0,Diesel,Individual,Manual,0.0,21.02,1248.0,88.76,200Nm@ 1750-3000rpm,5.0
1845,Tata Indigo eCS VX BSIV,2013.0,310000.0,70000.0,Diesel,Individual,Manual,0.0,25.0,1396.0,69.0,140Nm@ 1800-3000rpm,5.0
1846,Hyundai i20 1.2 Asta,2018.0,700000.0,6000.0,Petrol,Individual,Manual,0.0,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0
1847,Maruti Swift VXI Optional,2016.0,550000.0,20000.0,Petrol,Individual,Manual,0.0,20.4,1197.0,81.8,113Nm@ 4200rpm,5.0
1848,Tata Indigo CS LX (TDI) BS-III,2017.0,450000.0,70000.0,Diesel,Individual,Manual,0.0,19.09,1405.0,69.01,135Nm@ 2500rpm,5.0
1849,Honda City i VTEC VX,2016.0,773000.0,65000.0,Petrol,Individual,Manual,0.0,17.8,1497.0,117.3,145Nm@ 4600rpm,5.0
1850,Tata Tiago 1.2 Revotron XZ,2017.0,450000.0,25000.0,Petrol,Individual,Manual,0.0,23.84,1199.0,84.0,114Nm@ 3500rpm,5.0
1851,Maruti Eeco 5 Seater AC BSIV,2019.0,409999.0,10000.0,Petrol,Individual,Manual,0.0,15.37,1196.0,73.0,101Nm@ 3000rpm,5.0
1852,Maruti 800 Std MPFi,2003.0,45000.0,35000.0,Petrol,Individual,Manual,3.0,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
1853,Nissan Teana XL,2014.0,600000.0,80000.0,Petrol,Individual,Automatic,1.0,11.07,2496.0,179.5,228Nm@ 4400rpm,5.0
1854,Chevrolet Beat LT,2010.0,250000.0,63000.0,Petrol,Individual,Manual,0.0,18.6,1199.0,79.4,108Nm@ 4400rpm,5.0
1855,Tata Indica V2 DLS TC,2008.0,70000.0,100000.0,Diesel,Individual,Manual,0.0,16.8,1405.0,62.0,"12.5@ 2,500(kgm@ rpm)",5.0
1856,Honda Amaze S i-VTEC,2019.0,690000.0,1303.0,Petrol,Dealer,Manual,0.0,17.8,1198.0,86.7,109Nm@ 4500rpm,5.0
1857,Audi Q5 35TDI Premium Plus,2018.0,3975000.0,31800.0,Diesel,Dealer,Automatic,0.0,17.01,1968.0,188.0,400nm@ 1750-3000rpm,5.0
1858,Lexus ES 300h,2019.0,5150000.0,20000.0,Petrol,Dealer,Automatic,0.0,22.37,2487.0,214.56,202Nm@ 3600-5200rpm,5.0
1859,Jaguar XF 2.0 Diesel Portfolio,2017.0,3200000.0,45000.0,Diesel,Dealer,Automatic,0.0,19.33,1999.0,177.0,430Nm@ 1750-2500rpm,5.0
1860,Jeep Wrangler 2016-2019 3.6 4X4,2017.0,4100000.0,17000.0,Petrol,Individual,Automatic,0.0,9.5,3604.0,280.0,347Nm@ 4300rpm,5.0
1861,Toyota Yaris V BSIV,2018.0,1000000.0,4295.0,Petrol,Trustmark Dealer,Manual,0.0,17.1,1496.0,105.5,140Nm@ 4200rpm,5.0
1862,Toyota Yaris V BSIV,2018.0,1000000.0,5229.0,Petrol,Trustmark Dealer,Manual,0.0,17.1,1496.0,105.5,140Nm@ 4200rpm,5.0
1863,Toyota Camry 2.5 Hybrid,2016.0,2000000.0,68089.0,Petrol,Trustmark Dealer,Automatic,0.0,19.16,2494.0,157.7,213Nm@ 4500rpm,5.0
1864,Maruti Ciaz 1.3 Alpha,2018.0,925000.0,23712.0,Diesel,Trustmark Dealer,Manual,0.0,28.09,1248.0,88.5,200Nm@ 1750rpm,5.0
1865,Honda Jazz VX,2016.0,550000.0,56494.0,Petrol,Trustmark Dealer,Manual,0.0,18.2,1199.0,88.7,110Nm@ 4800rpm,5.0
1866,Maruti Wagon R VXI BS IV,2018.0,430000.0,16589.0,Petrol,Trustmark Dealer,Manual,0.0,20.51,998.0,67.04,90Nm@ 3500rpm,5.0
1867,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013.0,750000.0,79328.0,Diesel,Trustmark Dealer,Manual,1.0,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,7.0
1868,Honda City i VTEC V,2016.0,675000.0,53201.0,Petrol,Trustmark Dealer,Manual,1.0,17.8,1497.0,117.3,145Nm@ 4600rpm,5.0
1869,Maruti Baleno Delta,2017.0,570000.0,25272.0,Petrol,Trustmark Dealer,Manual,0.0,21.01,1197.0,81.8,113Nm@ 4200rpm,5.0
1870,Maruti Vitara Brezza ZDi Plus,2017.0,850000.0,53619.0,Diesel,Trustmark Dealer,Manual,0.0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
1871,BMW X4 M Sport X xDrive20d,2019.0,5400000.0,7500.0,Diesel,Dealer,Automatic,0.0,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0
1872,BMW X4 M Sport X xDrive20d,2019.0,5500000.0,8500.0,Diesel,Dealer,Automatic,0.0,16.78,1995.0,190.0,400Nm@ 1750-2500rpm,5.0
1873,Honda Amaze V CVT Petrol BSIV,2019.0,779000.0,7032.0,Petrol,Trustmark Dealer,Automatic,0.0,19.0,1199.0,88.76,110Nm@ 4800rpm,5.0
1874,Ford Ecosport 1.5 Petrol Ambiente,2018.0,640000.0,6001.0,Petrol,Dealer,Manual,0.0,15.9,1496.0,120.69,149Nm@ 4500rpm,5.0
1875,Tata Indigo CS LS (TDI) BS-III,2013.0,250000.0,80000.0,Diesel,Individual,Manual,0.0,19.09,1405.0,69.01,135Nm@ 2500rpm,5.0
1876,Renault Duster 110PS Diesel RxZ,2018.0,1250000.0,12000.0,Diesel,Individual,Manual,0.0,19.6,1461.0,108.45,245Nm@ 1750rpm,5.0
1877,Ford EcoSport 1.5 Petrol Titanium BSIV,2017.0,889000.0,25000.0,Petrol,Individual,Manual,0.0,17.0,1497.0,121.31,150Nm@ 4500rpm,5.0
1878,Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017.0,750000.0,40000.0,Diesel,Individual,Manual,1.0,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0
1879,Maruti Swift Ldi BSIV,2010.0,320000.0,130000.0,Diesel,Individual,Manual,2.0,17.8,1248.0,75.0,190Nm@ 2000rpm,5.0
1880,Skoda Yeti Ambition 4WD,2011.0,600000.0,202000.0,Diesel,Individual,Manual,0.0,17.67,1968.0,138.08,320Nm@ 1750-2500rpm,5.0
1881,Maruti Ciaz S 1.3,2018.0,1000000.0,40000.0,Diesel,Individual,Manual,0.0,28.09,1248.0,88.5,200Nm@ 1750rpm,5.0
1882,Maruti Zen LX,2000.0,110000.0,70000.0,Petrol,Individual,Manual,3.0,17.3,993.0,60.0,78Nm@ 4500rpm,5.0
1883,Honda City 2017-2020 GXi,2008.0,250000.0,120000.0,Petrol,Individual,Manual,1.0,17.7,1497.0,78.0,"12.7@ 2,700(kgm@ rpm)",5.0
1884,Maruti Swift Dzire VDI,2015.0,600000.0,60000.0,Diesel,Individual,Manual,0.0,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0
1885,Maruti Zen Estilo LXI BS IV,2009.0,165000.0,60000.0,Petrol,Individual,Manual,0.0,19.0,998.0,67.1,90Nm@ 3500rpm,5.0
1886,Maruti Alto LXI,2004.0,118000.0,60000.0,Petrol,Individual,Manual,1.0,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
1887,Maruti Baleno Delta 1.3,2016.0,700000.0,78000.0,Diesel,Individual,Manual,0.0,27.39,1248.0,74.0,190Nm@ 2000rpm,5.0
1888,Renault Duster 85PS Diesel RxL Optional,2013.0,585000.0,80000.0,Diesel,Individual,Manual,1.0,20.46,1461.0,83.8,200Nm@ 1900rpm,5.0
1889,Maruti Alto LXi,2006.0,120000.0,120000.0,Petrol,Individual,Manual,3.0,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
1890,Maruti 800 Std MPFi,2003.0,65000.0,90000.0,Petrol,Individual,Manual,3.0,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
1891,Maruti Alto LX,2006.0,150000.0,100000.0,Petrol,Individual,Manual,1.0,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
1892,Maruti Alto Std,2009.0,150000.0,70000.0,Petrol,Individual,Manual,3.0,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
1893,Hyundai Accent VIVA CRDi,2004.0,170000.0,160000.0,Diesel,Individual,Manual,2.0,13.1,1493.0,82.0,187Nm@ 2500rpm,5.0
1894,Mahindra Scorpio 2.6 CRDe,2006.0,250000.0,120000.0,Diesel,Individual,Manual,2.0,10.5,2179.0,120.0,290Nm@ 1800-2800rpm,8.0
1895,Hyundai Accent CRDi,2005.0,100000.0,100000.0,Diesel,Individual,Manual,2.0,13.1,1493.0,82.0,187Nm@ 2500rpm,5.0
1896,Maruti Ertiga VDI,2013.0,599000.0,60000.0,Diesel,Individual,Manual,1.0,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0
1897,Chevrolet Cruze LTZ,2010.0,250000.0,135000.0,Diesel,Individual,Manual,2.0,18.3,1991.0,147.9,327Nm@ 2600rpm,5.0
1898,Maruti Swift VXI Optional,2016.0,570000.0,90000.0,Petrol,Individual,Manual,0.0,20.4,1197.0,81.8,113Nm@ 4200rpm,5.0
1899,Volkswagen Polo Diesel Highline 1.2L,2013.0,440000.0,75000.0,Diesel,Individual,Manual,1.0,22.07,1199.0,73.9,180Nm@ 2000rpm,5.0
1900,Toyota Innova 2.5 E Diesel MS 7-seater,2005.0,300000.0,185000.0,Diesel,Individual,Manual,1.0,11.4,2494.0,100.6,200Nm@ 1400-3400rpm,7.0
1901,Nissan Micra XV CVT,2015.0,300000.0,71717.0,Petrol,Individual,Automatic,1.0,19.34,1198.0,76.0,104Nm@ 4400rpm,5.0
1902,Mahindra Scorpio VLX 2WD ABS AT BSIII,2011.0,500000.0,150000.0,Diesel,Individual,Automatic,1.0,11.79,2179.0,120.0,290Nm@ 1800-2800rpm,8.0
1903,Maruti Swift Dzire VDI,2016.0,660000.0,55000.0,Diesel,Individual,Manual,0.0,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0
1904,Ford Fiesta Classic 1.6 Duratec LXI,2012.0,256000.0,90000.0,Petrol,Individual,Manual,1.0,15.3,1596.0,99.6,146Nm@ 3400rpm,5.0
1905,Renault KWID 1.0 RXT Optional,2018.0,409999.0,35000.0,Petrol,Individual,Manual,0.0,23.01,999.0,67.0,91Nm@ 4250rpm,5.0
1906,Toyota Fortuner 4x4 MT,2015.0,1888000.0,120000.0,Diesel,Individual,Manual,1.0,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7.0
1907,Hyundai Santro Xing GLS LPG,2011.0,250000.0,100000.0,LPG,Individual,Manual,1.0,13.45,1086.0,62.1,96.1Nm@ 3000rpm,5.0
1908,Honda Civic 1.8 V AT,2009.0,280000.0,40000.0,Petrol,Individual,Automatic,2.0,12.9,1799.0,130.0,172Nm@ 4300rpm,5.0
1909,Mahindra Xylo D2,2010.0,300000.0,100000.0,Diesel,Individual,Manual,0.0,13.0,2489.0,95.0,220Nm at 1400-2600 rpm,8.0
1910,Tata Safari Storme LX,2016.0,900000.0,120000.0,Diesel,Individual,Manual,0.0,14.1,2179.0,147.94,320Nm@ 1500-3000rpm,5.0
1911,Maruti Zen Estilo VXI BSIV,2014.0,190000.0,60000.0,Petrol,Individual,Manual,0.0,19.0,998.0,67.1,90Nm@ 3500rpm,5.0
1912,Mahindra Bolero Power Plus Plus AC BSIV PS,2019.0,800000.0,2000.0,Diesel,Individual,Manual,0.0,15.96,2523.0,63.0,180Nm@ 1440-1500rpm,9.0
1913,Mahindra Scorpio EX,2012.0,450000.0,100000.0,Diesel,Individual,Manual,0.0,14.0,2523.0,75.0,200Nm@ 1400-2200rpm,8.0
1914,Mahindra Xylo D2 BS III,2015.0,400000.0,110000.0,Diesel,Individual,Manual,0.0,14.95,2489.0,93.7,218Nm@ 1400-2600rpm,7.0
1915,Tata New Safari Dicor VX 4X2 BS IV,2009.0,150000.0,90000.0,Diesel,Individual,Manual,1.0,13.93,2179.0,138.1,320Nm@ 1700-2700rpm,7.0
1916,Tata Indigo CR4,2011.0,200000.0,84321.0,Diesel,Individual,Manual,0.0,23.57,1396.0,70.0,140Nm@ 1800-3000rpm,5.0
1917,Mahindra XUV500 W8 AWD,2013.0,600000.0,177000.0,Diesel,Individual,Manual,0.0,15.1,2179.0,140.0,330Nm@ 1600-2800rpm,7.0
1918,Tata Indica Vista Aqua 1.3 Quadrajet,2010.0,175000.0,60000.0,Diesel,Individual,Manual,0.0,18.0,1248.0,75.0,190 Nm at 1750  rpm ,5.0
1919,Tata Indigo CS LE (TDI) BS-III,2008.0,99000.0,205000.0,Diesel,Individual,Manual,1.0,19.09,1396.0,69.0,135Nm@ 2500rpm,5.0
1920,Hyundai i10 Asta,2008.0,215000.0,70000.0,Petrol,Individual,Manual,1.0,20.36,1197.0,78.9,111.8Nm@ 4000rpm,5.0
1921,Maruti Omni E 8 Str STD,2011.0,190000.0,70000.0,Petrol,Individual,Manual,2.0,,,,,
1922,Renault Duster 110PS Diesel RxL,2013.0,520000.0,126000.0,Diesel,Individual,Manual,1.0,19.01,1461.0,108.45,248Nm@ 2250rpm,5.0
1923,Ford Endeavour 3.2 Titanium AT 4X4,2016.0,2280000.0,120000.0,Diesel,Individual,Automatic,1.0,10.91,3198.0,197.0,470Nm@ 1750-2500rpm,7.0
1924,Tata Indica Vista TDI LS,2015.0,285000.0,70000.0,Diesel,Individual,Manual,0.0,19.1,1405.0,70.0,135.4Nm@ 2500rpm,5.0
1925,Mahindra TUV 300 T4 Plus,2017.0,660000.0,82000.0,Diesel,Individual,Manual,0.0,18.49,1493.0,100.0,240Nm@ 1600-2800rpm,7.0
1926,Maruti 800 Std,2004.0,31504.0,110000.0,Petrol,Individual,Manual,2.0,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
1927,Maruti Swift Dzire VXI,2015.0,515000.0,45000.0,Petrol,Individual,Manual,1.0,20.85,1197.0,83.14,115Nm@ 4000rpm,5.0
1928,Nissan Sunny Diesel XL,2012.0,295000.0,70000.0,Diesel,Individual,Manual,1.0,21.64,1461.0,84.8,200Nm@ 2000rpm,5.0
1929,Nissan Terrano XL 85 PS,2015.0,700000.0,80000.0,Diesel,Individual,Manual,1.0,20.45,1461.0,83.8,200Nm@ 1900rpm,5.0
1930,Mahindra Scorpio Intelli Hybrid S6 Plus,2017.0,1100000.0,45000.0,Diesel,Individual,Manual,0.0,15.4,2179.0,120.0,280Nm@ 1800-2800rpm,7.0
1931,Hyundai EON 1.0 Era Plus,2017.0,300000.0,60000.0,Petrol,Individual,Manual,0.0,20.3,998.0,68.05,94.14Nm@ 3500rpm,5.0
1932,Maruti Swift VXI,2013.0,450000.0,41800.0,Petrol,Individual,Manual,0.0,18.6,1197.0,85.8,114Nm@ 4000rpm,5.0
1933,Maruti Estilo LXI,2010.0,135000.0,132000.0,Petrol,Individual,Manual,1.0,,,,,
1934,Maruti Swift Dzire VDI,2017.0,700000.0,50000.0,Diesel,Individual,Manual,1.0,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0
